l,m,Clm,Slm,sigmaClm,sigmaSlm
23,3,-2.40771916404486e-08,-1.74957518276718e-08,4.794341622e-13,4.773213019e-13
23,4,-2.38684204898637e-08,8.2923882795486e-09,5.566096462e-13,5.476908651e-13
23,5,-8.83211625731366e-10,1.6466527528057801e-10,6.323639152e-13,6.343892278e-13
23,6,-1.19276378612301e-08,1.61304545400405e-08,8.032460196e-13,7.980219698e-13
23,7,-6.8874055055129505e-09,-1.91397852420673e-09,9.768947542e-13,9.779873839e-13
23,8,7.36058661754965e-09,1.82352729338449e-10,1.201685865e-12,1.199408904e-12
23,9,1.8181923311336402e-09,-1.28499684565167e-08,1.426200861e-12,1.424294985e-12
23,10,1.68616355823109e-08,-2.26964546882757e-09,1.661676256e-12,1.661809261e-12
23,11,9.23106099566123e-09,1.42937327655739e-08,1.908261475e-12,1.908152431e-12
23,12,1.64661359096641e-08,-1.20086167532985e-08,2.155194525e-12,2.154020004e-12
23,13,-1.16116647358326e-08,-5.20507359211939e-09,2.385367063e-12,2.383814212e-12
23,14,6.956988501686841e-09,-1.4637112724505101e-09,2.776070231e-12,2.776430879e-12
23,15,1.89460333876311e-08,-3.5911457244907804e-09,3.096468106e-12,3.094148825e-12
23,16,5.90787056073298e-09,1.10767537310355e-08,3.586513055e-12,3.587033065e-12
23,17,-5.46344574978046e-09,-1.29336873674311e-08,3.767444407e-12,3.762788468e-12
23,18,8.54349524918403e-09,-1.48171754135083e-08,4.357224376e-12,4.358224043e-12
23,19,-5.4755253553408105e-09,1.06567231826728e-08,5.094468034e-12,5.096963489e-12
23,20,7.97074457466334e-09,-5.45405930990654e-09,4.839562739e-12,4.846843215e-12
23,21,1.57093052771851e-08,1.17414500770336e-08,6.954748126e-12,6.949417533e-12
23,22,-1.79741548069429e-08,4.73423743082551e-09,8.508777406e-12,8.509603034e-12
23,23,3.0553213270942804e-09,-1.20563683028849e-08,6.90409523e-12,6.892900966e-12
24,0,-7.293117305292039e-11,0.0,4.450780754e-13,0.0
24,1,-2.73044176963461e-09,-1.5326662078505202e-09,4.258177434e-13,4.68042943e-13
24,2,9.599644245655571e-10,1.5154395738441e-08,4.712399686e-13,4.386202166e-13
24,3,-4.808666751193181e-09,-9.735335361733742e-09,4.759256477e-13,4.738977047e-13
24,4,5.971691594944541e-09,5.08911964925789e-09,5.462709218e-13,5.373363511e-13
